date,account,category,amount,currency,converted amount,currency,description
14/11/2014,Наличные,Транспорт,-51,UAH,-51,UAH,
14/11/2014,Наличные,Химия,-64,UAH,-64,UAH,Пена. Зубные щетки 
14/11/2014,Наличные,Еда,-50,UAH,-50,UAH,Шпикачки. Сок
15/11/2014,Наличные,Еда,-26,UAH,-26,UAH,
15/11/2014,Наличные,Подарки,-165,UAH,-165,UAH,
15/11/2014,Наличные,Еда,-85,UAH,-85,UAH,
16/11/2014,Отдых,Бонус,1 500,UAH,1 500,UAH,
16/11/2014,Гривна,Зарплата,3 000,UAH,3 000,UAH,
16/11/2014,Наличные,Другое,-2,UAH,-2,UAH,
16/11/2014,Наличные,Другое,-10,UAH,-10,UAH,
16/11/2014,Гривна,To 'Наличные',-300,UAH,-300,UAH,
16/11/2014,Наличные,From 'Гривна',300,UAH,300,UAH,
16/11/2014,Наличные,Еда,-50,UAH,-50,UAH,
16/11/2014,Наличные,Еда,-215,UAH,-215,UAH,
17/11/2014,Наличные,Кафе,-114,UAH,-114,UAH,
18/11/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
18/11/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
20/11/2014,Наличные,Еда,-20,UAH,-20,UAH,Вишня. Орбит
20/11/2014,Гривна,Жилье,-2 000,UAH,-2 000,UAH,
21/11/2014,Наличные,Еда,-225,UAH,-225,UAH,
21/11/2014,Гривна,To 'Наличные',-300,UAH,-300,UAH,
21/11/2014,Наличные,From 'Гривна',300,UAH,300,UAH,
22/11/2014,Наличные,Транспорт,-6,UAH,-6,UAH,
22/11/2014,Наличные,Кафе,-30,UAH,-30,UAH,
24/11/2014,Наличные,Кафе,-5,UAH,-5,UAH,
25/11/2014,Наличные,Транспорт,-50,UAH,-50,UAH,
25/11/2014,Наличные,Кафе,-7,UAH,-7,UAH,Контик
25/11/2014,Наличные,Еда,-37,UAH,-37,UAH,Сардельки
25/11/2014,Наличные,"Кино, театр, музей",-110,UAH,-110,UAH,
25/11/2014,Наличные,Кафе,-70,UAH,-70,UAH,
26/11/2014,Наличные,Бонус,200,UAH,200,UAH,
26/11/2014,Гривна,Бонус,100,UAH,100,UAH,
26/11/2014,Наличные,Бонус,5,UAH,5,UAH,
26/11/2014,Наличные,Еда,-18,UAH,-18,UAH,
26/11/2014,Наличные,Еда,-12,UAH,-12,UAH,
26/11/2014,Гривна,To 'Наличные',-300,UAH,-300,UAH,
26/11/2014,Наличные,From 'Гривна',300,UAH,300,UAH,
27/11/2014,Наличные,Еда,-12,UAH,-12,UAH,
27/11/2014,Наличные,Другое,-20,UAH,-20,UAH,
27/11/2014,Наличные,Другое,-200,UAH,-200,UAH,Ато
28/11/2014,Наличные,Транспорт,-3,UAH,-3,UAH,
29/11/2014,Отдых,To 'Наличные',-500,UAH,-500,UAH,
29/11/2014,Наличные,From 'Отдых',500,UAH,500,UAH,
29/11/2014,Наличные,Еда,-246,UAH,-246,UAH,
30/11/2014,Наличные,Жилье,-178,UAH,-178,UAH,
30/11/2014,Гривна,Зарплата,1 600,UAH,1 600,UAH,
30/11/2014,Гривна,To 'Отдых',-500,UAH,-500,UAH,
30/11/2014,Отдых,From 'Гривна',500,UAH,500,UAH,
30/11/2014,Гривна,To 'ПриватБанк',-600,UAH,-600,UAH,
30/11/2014,ПриватБанк,From 'Гривна',600,UAH,600,UAH,
30/11/2014,ПриватБанк,Связь,-50,UAH,-50,UAH,
30/11/2014,ПриватБанк,Связь,-35,UAH,-35,UAH,
30/11/2014,ПриватБанк,Интернет,-100,UAH,-100,UAH,
30/11/2014,ПриватБанк,Связь,-42,UAH,-42,UAH,
